#<time>	 <y vector>
0 1 0
0.001 1 0.001
0.101 0.994904 0.100828
0.201 0.979867 0.199649
0.301 0.95504 0.296475
0.401 0.920671 0.390339
0.501 0.877103 0.480303
0.601 0.824771 0.565468
0.701 0.764198 0.644982
0.801 0.695989 0.718053
0.901 0.620826 0.783948
1.001 0.53946 0.842011
1.101 0.452705 0.891661
1.201 0.361425 0.932401
1.301 0.266535 0.963825
1.401 0.168981 0.985619
1.501 0.0697395 0.997565
1.601 -0.0301993 0.999544
1.701 -0.129836 0.991535
1.801 -0.228176 0.97362
1.901 -0.324236 0.945976
2.001 -0.417056 0.908881
2.101 -0.505709 0.862704
2.201 -0.58931 0.807907
2.301 -0.667022 0.745038
2.401 -0.738069 0.674725
2.501 -0.801742 0.59767
2.601 -0.857404 0.514644
2.701 -0.904499 0.426475
2.801 -0.942557 0.334045
2.901 -0.971197 0.238278
3.001 -0.990133 0.14013
3.101 -0.999176 0.0405811
3.201 -0.998236 -0.0593728
3.301 -0.987322 -0.158734
3.401 -0.966542 -0.256508
3.501 -0.936105 -0.35172
3.601 -0.896315 -0.443417
3.701 -0.84757 -0.530684
3.801 -0.790355 -0.612649
3.901 -0.725244 -0.688492
4.001 -0.652886 -0.757456
4.101 -0.574005 -0.818852
4.201 -0.489389 -0.872066
4.301 -0.399882 -0.916567
4.401 -0.306381 -0.951909
4.501 -0.209818 -0.977741
4.601 -0.111158 -0.993803
4.701 -0.0113881 -0.999935
4.801 0.0884957 -0.996077
4.901 0.187495 -0.982266
5.001 0.284622 -0.95864
5.101 0.378904 -0.925436
5.201 0.469401 -0.882986
5.301 0.555207 -0.831712
5.401 0.635466 -0.772129
5.501 0.709376 -0.704831
5.601 0.776197 -0.63049
5.701 0.835264 -0.54985
5.801 0.885984 -0.463716
5.901 0.927852 -0.372948
6.001 0.96045 -0.278455
6.101 0.98345 -0.181178
6.201 0.996625 -0.0820921
6.301 0.999841 0.0178145
6.401 0.993068 0.117543
6.501 0.976372 0.216097
6.601 0.94992 0.312492
6.701 0.913978 0.405765
6.801 0.868903 0.494983
6.901 0.815146 0.579256
7.001 0.753244 0.657741
7.101 0.683817 0.729654
7.201 0.607557 0.794277
7.301 0.525226 0.850963
7.401 0.437648 0.899147
7.501 0.345696 0.938347
7.601 0.250291 0.968171
7.701 0.152385 0.988321
7.801 0.0529559 0.998597
7.901 -0.0470021 0.998895
8.001 -0.14649 0.989212
8.101 -0.244515 0.969646
8.201 -0.340096 0.940391
8.301 -0.43228 0.90174
8.401 -0.520144 0.854079
8.501 -0.602811 0.797884
8.601 -0.679455 0.733717
8.701 -0.74931 0.66222
8.801 -0.811678 0.584105
8.901 -0.865937 0.500154
9.001 -0.911543 0.411206
9.101 -0.948041 0.318149
9.201 -0.975067 0.221914
9.301 -0.99235 0.123461
9.401 -0.999718 0.0237745
9.501 -0.997097 -0.0761495
9.601 -0.984513 -0.175313
9.701 -0.962093 -0.272724
9.801 -0.930059 -0.367411
9.901 -0.888733 -0.458426
10.001 -0.838527 -0.544861
10.101 -0.779942 -0.625852
10.201 -0.713565 -0.70059
10.301 -0.640058 -0.768327
10.401 -0.560155 -0.828388
10.501 -0.474656 -0.880172
10.601 -0.384414 -0.923161
10.701 -0.290331 -0.956926
10.801 -0.193348 -0.981131
10.901 -0.094432 -0.995532
11.001 0.00542708 -0.999986
11.101 0.105232 -0.994448
11.201 0.203985 -0.978974
11.301 0.300701 -0.953719
11.401 0.394411 -0.918934
11.501 0.484181 -0.874968
11.601 0.569114 -0.822259
11.701 0.648359 -0.761335
11.801 0.721127 -0.692803
11.901 0.786689 -0.61735
12.001 0.844391 -0.535728
12.101 0.893656 -0.448753
12.201 0.933992 -0.357294
12.301 0.964996 -0.262266
12.401 0.986358 -0.164616
12.501 0.997865 -0.0653225
12.601 0.999401 0.0346241
12.701 0.990951 0.134225
12.801 0.972601 0.232484
12.901 0.944532 0.328421
13.001 0.907026 0.421076
13.101 0.860457 0.509524
13.201 0.805291 0.592881
13.301 0.742078 0.670314
13.401 0.671451 0.741049
13.501 0.594115 0.80438
13.601 0.510843 0.859674
13.701 0.422467 0.906379
13.801 0.329869 0.944027
13.901 0.233976 0.972243
14.001 0.135745 0.990744
14.101 0.0361573 0.999346
14.201 -0.0637915 0.997964
14.301 -0.163103 0.986609
14.401 -0.260785 0.965397
14.501 -0.355861 0.934539
14.601 -0.447381 0.894344
14.701 -0.534432 0.845212
14.801 -0.616142 0.787635
14.901 -0.691696 0.722189
15.001 -0.760339 0.649527
15.101 -0.821385 0.570374
15.201 -0.874224 0.485523
15.301 -0.918328 0.395821
15.401 -0.953257 0.302164
15.501 -0.97866 0.205487
15.601 -0.994286 0.106758
15.701 -0.999976 0.00696123
15.801 -0.995675 -0.0929046
15.901 -0.981426 -0.191842
16.001 -0.957371 -0.288863
16.101 -0.92375 -0.382997
16.201 -0.880899 -0.473305
16.301 -0.829247 -0.558884
16.401 -0.769308 -0.638878
16.501 -0.701684 -0.712489
16.601 -0.627048 -0.778981
16.701 -0.546147 -0.83769
16.801 -0.459789 -0.888029
16.901 -0.368837 -0.929495
17.001 -0.2742 -0.961673
17.101 -0.176823 -0.984243
17.201 -0.0776791 -0.996979
17.301 0.0222408 -0.999753
17.401 0.121938 -0.992538
17.501 0.220418 -0.975406
17.601 0.316695 -0.948528
17.701 0.409807 -0.912173
17.801 0.498825 -0.866703
17.901 0.582859 -0.812574
